usuario_id,libro_codigo,titulo,fecha_inicio,fecha_vencimiento,estado,prorroga_aplicada,condicion,deuda_generada,pagado
U-7,B040,La metamorfosis,2026-09-15T16:22:38.410393,2026-09-22T16:22:38.410393,devuelto,False,daniado,22.0,0.0
U-2,B010,El Quijote,2026-09-15T16:22:38.420312,2026-09-24T16:22:38.420312,vencido,True,,30.0,0.0
U-1,B000,Libro 0,2026-09-15T16:22:38.428354,2026-09-24T16:22:38.428354,vencido,True,,10.0,0.0
U-1,B001,Libro 1,2026-09-15T16:22:38.431257,2026-09-24T16:22:38.431257,vencido,True,,10.0,0.0
U-1,B002,Libro 2,2026-09-15T16:22:38.434565,2026-09-24T16:22:38.434565,vencido,True,,10.0,0.0
U-1,B003,Libro 3,2026-09-15T16:22:38.438148,2026-09-24T16:22:38.438148,vencido,True,,10.0,0.0
U-1,B004,Libro 4,2026-09-15T16:22:38.441119,2026-09-24T16:22:38.441119,vencido,True,,10.0,0.0
U-5,B020,Ficciones,2026-09-15T16:22:38.479447,2026-09-24T16:22:38.479447,vencido,True,,18.0,0.0
U-6,B030,1984,2026-09-15T16:22:38.496243,2026-09-24T16:22:38.496243,activo,True,,0.0,0.0
5466611,6565559578,100 años de soledad,2026-09-15T17:01:23.898752,2026-09-22T17:01:23.898752,devuelto,False,dañado,0.0,0.0
5466611,6565559578,100 años de soledad,2026-09-15T17:03:29.833985,2026-09-22T17:03:29.833985,devuelto,False,daniado,20.0,0.0
